unit_id,unit_level,pref_name,unit_code,n_geoms
aza:Aomori:02201110003,aza,Aomori,02201110003,9038
aza:Aomori:02201111001,aza,Aomori,02201111001,9038
aza:Aomori:02201111002,aza,Aomori,02201111002,9038
aza:Aomori:02201111003,aza,Aomori,02201111003,9038
aza:Aomori:02201112000,aza,Aomori,02201112000,9038
aza:Aomori:02201112001,aza,Aomori,02201112001,9038
aza:Aomori:02201112002,aza,Aomori,02201112002,9038
aza:Aomori:02201112002,aza,Aomori,02201112002,9038
aza:Aomori:02201112003,aza,Aomori,02201112003,9038
aza:Aomori:02201112004,aza,Aomori,02201112004,9038
aza:Aomori:02201113000,aza,Aomori,02201113000,9038
aza:Aomori:02201113001,aza,Aomori,02201113001,9038
aza:Aomori:02201113002,aza,Aomori,02201113002,9038
aza:Aomori:02201113003,aza,Aomori,02201113003,9038
aza:Aomori:02201113004,aza,Aomori,02201113004,9038
aza:Aomori:02201115000,aza,Aomori,02201115000,9038
aza:Aomori:02201115001,aza,Aomori,02201115001,9038
aza:Aomori:02201115002,aza,Aomori,02201115002,9038
aza:Aomori:02201115003,aza,Aomori,02201115003,9038
aza:Aomori:02201115004,aza,Aomori,02201115004,9038
aza:Aomori:02201117001,aza,Aomori,02201117001,9038
aza:Aomori:02201117002,aza,Aomori,02201117002,9038
aza:Aomori:02201118001,aza,Aomori,02201118001,9038
aza:Aomori:02201118002,aza,Aomori,02201118002,9038
aza:Aomori:02201118003,aza,Aomori,02201118003,9038
aza:Aomori:02201118004,aza,Aomori,02201118004,9038
aza:Aomori:02201118005,aza,Aomori,02201118005,9038
aza:Aomori:02201119001,aza,Aomori,02201119001,9038
aza:Aomori:02201119002,aza,Aomori,02201119002,9038
aza:Aomori:02201119003,aza,Aomori,02201119003,9038
aza:Aomori:02201120001,aza,Aomori,02201120001,9038
aza:Aomori:02201120002,aza,Aomori,02201120002,9038
aza:Aomori:02201120003,aza,Aomori,02201120003,9038
aza:Aomori:02201120004,aza,Aomori,02201120004,9038
aza:Aomori:02201121001,aza,Aomori,02201121001,9038
aza:Aomori:02201121002,aza,Aomori,02201121002,9038
aza:Aomori:02201121003,aza,Aomori,02201121003,9038
aza:Aomori:02201122001,aza,Aomori,02201122001,9038
aza:Aomori:02201122002,aza,Aomori,02201122002,9038
aza:Aomori:02201122003,aza,Aomori,02201122003,9038
aza:Aomori:02201123001,aza,Aomori,02201123001,9038
aza:Aomori:02201123002,aza,Aomori,02201123002,9038
aza:Aomori:02201124001,aza,Aomori,02201124001,9038
aza:Aomori:02201124002,aza,Aomori,02201124002,9038
aza:Aomori:02201124003,aza,Aomori,02201124003,9038
aza:Aomori:02201124004,aza,Aomori,02201124004,9038
aza:Aomori:02201124005,aza,Aomori,02201124005,9038
aza:Aomori:02201124006,aza,Aomori,02201124006,9038
aza:Aomori:02201125001,aza,Aomori,02201125001,9038
